status,product,credit_term,credit_amount,know_source,loan_purpose,passport_type,social_status,education,faculty,birthday,gender,family_status,children16,liv_equal,emp_type,income,income_period,income_next,exp_loans,cp_relation,app_rank,mphone_code,cp_phone_code,income_status,filling_time
1.0,0.0,1.0,0.35,0.25,0.8888888888888888,1.0,0.75,0.8,0.0,0.41486392184228893,0.0,1.0,0.0,1.0,0.8,0.0031666666666666666,0.75,2.7378133085104925e-05,0.008333333333333333,0.625,0.043478260869565216,0.9797979797979798,0.98989898989899,0.6666666666666666,0.020017618285926235
0.0,0.0,0.9642857142857143,0.5,0.625,0.6666666666666666,0.0,0.75,0.4,0.4,0.4508897418004187,1.0,1.0,0.0,1.0,0.8,0.043333333333333335,0.75,6.844533271276231e-06,0.016666666666666666,0.5,0.043478260869565216,0.9797979797979798,0.6868686868686869,0.6666666666666666,0.03102904698982312
0.0,0.0,1.0,1.0,0.625,0.5555555555555556,1.0,1.0,0.2,0.6,0.35676901605024425,0.0,1.0,0.0,1.0,0.6,0.04,0.5,5.475626617020985e-06,0.06666666666666667,0.625,0.043478260869565216,0.98989898989899,0.9797979797979798,0.3333333333333333,0.018510791200129818
0.0,0.0,1.0,1.0,0.625,0.0,1.0,0.5,0.6,0.4,0.725619330076762,1.0,0.5,0.0,1.0,0.6,0.023333333333333334,1.0,3.83293863191469e-05,0.008333333333333333,0.625,0.043478260869565216,1.0,0.5050505050505051,0.3333333333333333,0.0385400004636391
0.0,0.0,1.0,0.5,0.5,0.5555555555555556,1.0,0.0,0.4,0.2,0.46646022330774595,0.0,0.25,0.1,1.0,0.6,0.025,1.0,2.7378133085104925e-05,0.03333333333333333,0.0,0.043478260869565216,0.6363636363636364,0.6363636363636364,0.3333333333333333,0.5606787676472633
0.0,1.0,1.0,0.5,0.625,0.3333333333333333,1.0,0.75,0.8,0.4,0.4478367062107467,0.0,1.0,0.0,1.0,0.4,0.05,0.5,1.2320159888297217e-05,0.0,0.875,0.043478260869565216,0.9393939393939394,0.98989898989899,0.6666666666666666,0.1332614692723184
1.0,0.0,1.0,1.0,0.375,0.0,1.0,0.75,0.4,0.4,0.8549808094905793,0.0,0.75,0.0,1.0,0.2,0.02666666666666667,0.75,1.6426879851062957e-05,0.016666666666666666,0.375,0.043478260869565216,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.032732920694531376
0.0,0.0,1.0,0.925,0.5,0.0,1.0,0.75,0.6,0.2,0.5123429867411026,1.0,1.0,0.0,1.0,0.2,0.1,0.5,1.095125323404197e-05,0.025,0.5,0.043478260869565216,0.7373737373737373,0.5050505050505051,0.6666666666666666,0.07520226255882421
0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.75,0.2,0.2,0.45315771109560365,0.0,0.25,0.3,0.0,0.2,0.056666666666666664,0.75,2.4640319776594433e-05,0.016666666666666666,0.0,0.043478260869565216,0.6868686868686869,0.9797979797979798,0.6666666666666666,0.03374133574425667
0.0,0.0,1.0,0.5,0.5,0.2222222222222222,1.0,0.75,0.8,0.8,0.6900732728541522,0.0,0.75,0.1,1.0,0.8,0.030666666666666665,0.75,2.0533599813828697e-05,0.005,0.625,0.043478260869565216,0.6363636363636364,0.7373737373737373,0.6666666666666666,0.020423302501332962
